Leaf,N. photos,Notes,Width,Length,Perimeter,Weight,Area,,Dataset size:
246,15,wavy surface; eating holes in the edge; under shade,5.4,6.8,23.5,0.193,25.73333333,,
247,13,flat surface; no eating holes; under sunlight,5.1,7.5,24.5,0.193,25.73333333,,
248,11,flat surface; no eating holes; under shade,5.4,7.9,25.0,0.220,29.33333333,,
249,12,flat surface; eating holes in the edge; under sunlight,5.3,6.8,23.5,0.185,24.66666667,,
250,13,flat surface; no eating holes; under shade,6.3,8.4,30.0,0.278,37.06666667,,
251,13,flat surface; no eating holes; under sunlight,5.5,7.3,25.0,0.209,27.86666667,,
252,12,flat surface; no eating holes; under shade,5.8,8.0,27.0,0.236,31.46666667,,
253,12,wavy surface; no eating holes; under sunlight,5.1,7.2,23.0,0.181,24.13333333,,
254,16,wavy surface; no eating holes; under shade,5.4,7.3,24.5,0.198,26.4,,
255,13,wavy surface; eating holes in the edge; under sunlight,5.9,8.5,27.5,0.246,32.8,,
256,13,wavy surface; no eating holes; under sunlight,5.5,7.6,26.0,0.209,27.86666667,,
257,14,flat surface; no eating holes; under shade,5.7,7.7,26.5,0.221,29.46666667,,
258,11,wavy surface; no eating holes; under sunlight,5.5,7.1,25.0,0.189,25.2,,
259,11,wavy surface; eating holes in the edge; under sunlight,5.5,6.8,24.5,0.179,23.86666667,,
260,13,flat surface; no eating holes; under shade,5.7,7.8,25.5,0.213,28.4,,
261,12,flat surface; no eating holes; with soild dust; under sunlight,5.7,7.4,24.5,0.200,26.66666667,,
262,13,wavy surface; no eating holes; with soild dust; under shade,5.9,8.0,26.5,0.233,31.06666667,,
263,15,wavy surface; no eating holes; under sunlight,5.9,8.3,27.5,0.242,32.26666667,,
264,11,wavy surface; no eating holes; under shade,6.3,8.7,29.0,0.281,37.46666667,,
265,16,flat surface; no eating holes; with soild dust; under shade,6.6,9.5,31.0,0.316,42.13333333,,
266,14,wavy surface; no eating holes; under shade,5.8,8.6,28.5,0.252,33.6,,
267,14,wavy surface; no eating holes; under sunlight,5.5,7.8,25.0,0.208,27.73333333,,
268,15,wavy surface; no eating holes; under sunlight,4.9,6.8,22.5,0.168,22.4,,
269,15,wavy surface; no eating holes; under sunlight,6.0,8.1,26.5,0.223,29.73333333,,
270,11,flat surface; no eating holes; under sunlight,5.8,7.9,27.0,0.221,29.46666667,,
271,12,flat surface; no eating holes; under sunlight; under shade,5.4,8.0,26.0,0.208,27.73333333,,
272,11,wavy surface; no eating holes; under sunlight,5.2,7.1,23.0,0.190,25.33333333,,
273,10,wavy surface; no eating holes; under sunlight,5.5,7.9,27.0,0.227,30.26666667,,
274,10,flat surface; no eating holes; under sunlight,5.9,7.6,25.5,0.227,30.26666667,,
275,14,flat surface; no eating holes; under sunlight,6.0,7.8,26.5,0.224,29.86666667,,
276,11,flat surface; no eating holes; under shade,6.3,7.7,27.0,0.237,31.6,,
277,10,flat surface; no eating holes; under sunlight,5.3,6.4,22.0,0.179,23.86666667,,
278,16,flat surface; no eating holes; under sunlight,5.4,7.0,24.0,0.203,27.06666667,,
279,11,wavy surface; no eating holes; under sunlight,5.1,6.7,22.0,0.168,22.4,,
280,12,wavy surface; no eating holes; under sunlight,5.5,7.2,24.5,0.203,27.06666667,,
281,15,wavy surface; no eating holes; under sunlight,5.4,8.1,26.5,0.226,30.13333333,,
282,14,wavy surface; no eating holes; under sunlight,6.4,8.7,29.5,0.284,37.86666667,,
283,12,wavy surface; no eating holes; under shade,6.0,7.8,26.0,0.238,31.73333333,,
284,9,wavy surface; no eating holes; under shade; with soild dust,5.4,7.1,24.5,0.199,26.53333333,,
285,11,wavy surface; eating holes in the edge; under shade,5.1,6.9,23.5,0.173,23.06666667,,
286,11,wavy surface; eating holes in the edge; under shade,5.4,6.4,24.0,0.197,26.26666667,,
287,16,wavy surface; no eating holes; under shade,4.9,6.0,21.5,0.153,20.4,,
288,12,wavy surface; eating holes in the edge; under shade,4.6,5.8,20.0,0.137,18.26666667,,
289,14,wavy surface; no eating holes; under shade,5.4,6.8,24.0,0.192,25.6,,
290,10,wavy surface; no eating holes; under shade,5.7,7.5,25.0,0.209,27.86666667,,
291,12,wavy surface; no eating holes; under shade,6.4,8.7,29.5,0.273,36.4,,
292,14,flat surface; no eating holes; under shade,5.5,7.6,25.5,0.208,27.73333333,,
293,13,wavy surface; no eating holes; under shade,5.9,7.9,27.5,0.248,33.06666667,,
294,14,wavy surface; no eating holes; under shade,5.4,7.3,24.0,0.199,26.53333333,,
295,14,wavy surface; no eating holes; under shade,5.7,6.8,24.5,0.193,25.73333333,,
296,14,wavy surface; no eating holes; under shade,5.8,7.0,25.0,0.216,28.8,,
297,12,wavy surface; no eating holes; under shade,5.2,7.3,24.0,0.191,25.46666667,,
298,12,flat surface; no eating holes; under shade,5.4,7.7,25.0,0.199,26.53333333,,
299,15,flat surface; no eating holes; under shade,5.9,8.0,28.0,0.244,32.53333333,,
300,14,flat surface; no eating holes; under shade,6.2,8.4,28.5,0.267,35.6,,
301,14,flat surface; no eating holes; under shade,6.2,8.0,28.0,0.252,33.6,,1886
302,14,flat surface; no eating holes; under shade,6.1,7.9,27.0,0.241,32.13333333,,
303,11,wavy surface; no eating holes; under shade,5.8,8.1,27.5,0.230,30.66666667,,
304,12,flat surface; no eating holes; under shade,6.0,8.7,29.0,0.258,34.4,,
305,16,flat surface; no eating holes; under cloudy sky,5.1,7.6,24.5,0.200,26.66666667,,
306,12,flat surface; no eating holes; under cloudy sky,5.2,7.4,24.5,0.193,25.73333333,,
307,13,flat surface; no eating holes; under cloudy sky,5.5,7.2,25.0,0.197,26.26666667,,
308,12,flat surface; no eating holes; under cloudy sky,4.9,6.5,22.0,0.159,21.2,,
309,13,wavy surface; no eating holes; under cloudy sky,6.0,7.4,27.0,0.238,31.73333333,,
310,16,flat surface; no eating holes; under cloudy sky,6.5,7.5,27.5,0.276,36.8,,
311,13,wavy surface; no eating holes; under shade,6.5,9.7,31.5,0.298,39.73333333,,
312,12,flat surface; no eating holes; under shade,6.6,8.4,29.0,0.264,35.2,,
313,13,flat surface; no eating holes; under cloudy sky,5.4,7.9,26.0,0.221,29.46666667,,
